produced_in_US,runtime_ratio,director,supporting_actor_1,runtime,supporting_actor_2,season,revenue,num_production_companies,top_100_actor_count,writer_rank,num_production_countries,actors,decade,budget,actor_rank,has_top_25_writer,release_month,lead_actor,writer,has_top_25_director,in_english,release_year,has_top_25_company,director_rank,title,company_rank,genre_rank,genres
1,0.046153846153846156,Steve Pink,Craig Robinson,93.0,Clark Duke,Winter,12314651,3,0,1015,1,"['Rob Corddry', 'Craig Robinson', 'Clark Duke', 'Adam Scott', 'Chevy Chase']",2010s,14000000,746.2,0,February,Rob Corddry,Josh Heald,0,1,2015,0,587,Hot Tub Time Machine 2,135.0,3.0,['Comedy']
1,0.056387225548902194,Garry Marshall,Julie Andrews,113.0,Héctor Elizondo,Summer,95149435,1,0,447,1,"['Anne Hathaway', 'Julie Andrews', 'Héctor Elizondo', 'John Rhys-Davies', 'Heather Matarazzo']",2000s,40000000,386.2,0,August,Anne Hathaway,Shonda Rhimes,0,1,2004,1,158,The Princess Diaries 2: Royal Engagement,23.0,4.75,"['Comedy', 'Drama', 'Family', 'Romance']"
1,0.052135054617676264,Damien Chazelle,J.K. Simmons,105.0,Melissa Benoist,Autumn,13092000,3,0,630,1,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Austin Stowell', 'Jayson Blair']",2010s,3300000,735.2,0,October,Miles Teller,Damien Chazelle,0,1,2014,0,826,Whiplash,215.66666666666666,2.0,['Drama']
0,0.06063618290258449,Sujoy Ghosh,Nawazuddin Siddiqui,122.0,Parambrata Chatterjee,Spring,16000000,0,0,950,1,"['Vidya Balan', 'Nawazuddin Siddiqui', 'Parambrata Chatterjee', 'Saswata Chatterjee', 'Indraneil Sengupta']",2010s,1200000,835.0,0,March,Vidya Balan,Sujoy Ghosh,0,0,2012,0,775,Kahaani,261.0,3.0,"['Thriller', 'Drama']"
0,0.04177151484650227,Hal Sutherland,Tom Bosley,83.0,Rickie Lee Jones,Summer,3261638,0,0,1282,0,"['Scott Grimes', 'Tom Bosley', 'Rickie Lee Jones', 'James Earl Jones']",1980s,8000000,650.25,0,August,Scott Grimes,Collodi,0,1,1987,0,1066,Pinocchio and the Emperor of the Night,261.0,5.666666666666667,"['Animation', 'Adventure', 'Family']"
1,0.04572564612326044,Ole Bornedal,Natasha Calis,92.0,Madison Davenport,Summer,85446075,2,0,413,2,"['Jeffrey Dean Morgan', 'Natasha Calis', 'Madison Davenport', 'Kyra Sedgwick', 'Rob LaBelle']",2010s,14000000,835.0,0,August,Jeffrey Dean Morgan,Juliet Snowden,0,1,2012,0,315,The Possession,204.0,7.5,"['Horror', 'Thriller']"
1,0.0454318522216675,Christopher Guest,Christopher Guest,91.0,John Michael Higgins,Spring,18750246,1,0,893,1,"['Bob Balaban', 'Christopher Guest', 'John Michael Higgins', 'Eugene Levy', 'Jane Lynch']",2000s,6000000,491.8,0,April,Bob Balaban,Christopher Guest,0,1,2003,0,722,A Mighty Wind,186.0,9.0,"['Comedy', 'Music']"
1,0.06022267206477733,John G. Avildsen,Talia Shire,119.0,Burt Young,Autumn,117235147,1,0,167,1,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith']",1970s,1000000,509.0,0,November,Sylvester Stallone,Sylvester Stallone,0,1,1976,0,223,Rocky,176.0,2.0,['Drama']
1,0.061030515257628815,Sam Mendes,Annette Bening,122.0,Thora Birch,Autumn,356296601,2,0,62,1,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari']",1990s,15000000,558.8,0,September,Kevin Spacey,Alan Ball,1,1,1999,0,48,American Beauty,158.5,2.0,['Drama']
1,0.05885286783042394,F. Gary Gray,Uma Thurman,118.0,Vince Vaughn,Spring,95226116,4,0,720,1,"['John Travolta', 'Uma Thurman', 'Vince Vaughn', 'Cedric the Entertainer', 'André Benjamin']",2000s,53000000,526.6,0,March,John Travolta,Elmore Leonard,0,1,2005,0,313,Be Cool,194.0,6.0,"['Comedy', 'Crime']"
